gehört	appertains; heard; heared; listened; pertains
ins	
Leben	to exist; to live; existence; life; lifetime; lives; livings
Sohn	son
nichts	naught; nil; none; nothing; nonentity; nothingness
sei	
begann	began; begun; commenced
denn	for
aufgrund	due to
Familie	family
anderem	
siehe	look; see; vide
Hrsg	
Menschen	beings; humans; people
Friedrich	
große	largely
kommt	comes
Jahrhunderts	
danach	accordingly; after it; after that; hereafter; thereafter
behalten	to keep {kept, kept}
la	
davon	therefrom; thereof
welche	that; what; which; whichever; who
Titel	caption; captions; cover; heading; title; titles; titular
erstmals	
nahm	took
mehrere	several; severally; umpteen
zudem	
spielte	
fünf	five
Fall	downstream; case; fall; halyard
bezeichnet	asterisks; denominates; denoted; denotes; denots; designates; terms
ging	ambulated; walked
besteht	consists; consits; exists; exits
letzten	
genannt	called; named; yclept
Liste	bill; list; listing; ploy; register; roster; schedule
finden	to detect; to find {found, found}
weiteren	
könnte	could; might
Form	form; shape
Wien	Vienna
neu	afresh; coltish; innovative; new; nouveau; recent; re
gewann	gained
Karl	
darauf	hereon; hereupon; on it; thereon; thereupon; upon
gehörte	appertained; belonged; pertained
dafür	for it
machen	makes; to make {made, made}
zwar	to be sure
seines	
Hans	
https	
insgesamt	altogether; collectively; in all
Meter	meter [Am.]; metre [Br.]; meter; meters
recht	quite; right; claim; justice; law; privilege; right
eher	rather; sooner
Beispiel	example; instance; paradigm
Johann	
rund	rotund; round; roundly
schließlich	after all; at length; eventual; eventually; finally; in the end
wobei	at what; whereas; whereat; whereby
hatten	
Frage	interrogation; query; quest; question
trat	kicked; trod
kurz	brief; briefly; curtly; short; shortly
ihrem	
Schloss	castle; lock
Gruppe	bank; bracket; element group; gang; group; lot; squad; tern
verwendet	applies; appropriates
einfach	facile; frugal; just; plain; simple; simpleminded; simply; uncomplex; unit
lassen	to assume; to let {let, let}
bin	am
Unternehmen	to undertake {undertook, undertaken}; company; concern; management; undertaking
führte	led; shepherded; waged
fast	almost; nearly
Peter	
Anfang	beginning; commencement; entrie; incipience; init; initial; origin; outset; start; top
oft	frequently; often
insbesondere	in particular; particularly
Arbeit	chore; job; labor; labour; work
vielleicht	maybe; perhaps
Bereich	area; array; domain; purview; range; region; scope; span; sphere; zone
macht	makes; matter; force; might; potency
Frau	femme; mrs; signora; wife; woman
gilt	
Bild	figure; image; picture; tableau
viel	much
eigenen	
fand	
Tod	death
meist	almost; for the most part; most; mostly
University	
besonders	especially; extra; particular; particularly; particulary; peculiar; respective; several; severally; special; specially
alles	anything; everything
Wilhelm	
arbeitete	labored; worked
einmal	once
findet	finds
lang	long
relevant	
Land	country; county; land; terra
beide	both; either
studierte	studied
Gebiet	department; field; territory; tract
Bedeutung	denotation; importance; interest; interesting; meaning; prominence; relevancy; significance; signification; weight
lange	a long time; for a long time
König	king
Welt	earth; world; mundane
Straße	avenue; road; way
Personen	persons; personal
allen	
gegründet	based; founded
innerhalb	inside; intra; within
erhalten	get; to achieve; to conceive; to conserve; to get; to obtain; to preserve; to receive
Begriff	comprehended; understood; concept; idea; item; notion; perception
keinen	
Name	name
York	
Kategorie	category; predicament
führt	leads
